configuration,attenuation (dB),avg_throughput,std_throughput,avg_rtt,std_rtt
"AutoCSI: No TRS, SR Period = 1",0,162.46566666666666,5.520333333333333,33.86033333333334,9.549666666666667
"AutoCSI: No TRS, SR Period = 1",10,163.917,3.0749999999999997,30.770666666666667,5.856333333333333
"AutoCSI: No TRS, SR Period = 1",20,130.48433333333332,36.681666666666665,215.31033333333335,112.40166666666669
"AutoCSI: No TRS, SR Period = 1",30,72.14566666666667,8.241,329.0566666666667,54.929333333333325
AutoCsiTRSonSSB,0,156.28033333333335,12.751333333333333,43.494,21.61
AutoCsiTRSonSSB,10,161.953,6.255,33.669000000000004,9.104
AutoCsiTRSonSSB,20,154.309,13.362333333333334,151.65166666666667,25.829666666666668
AutoCsiTRSonSSB,30,69.217,11.538333333333334,348.2136666666667,75.97366666666666
AutoCsiTRSonSSB: PRACH = 128,0,154.21766666666667,15.232666666666667,47.647999999999996,25.225333333333335
AutoCsiTRSonSSB: PRACH = 128,10,158.168,16.06,48.61566666666666,48.23833333333334
AutoCsiTRSonSSB: PRACH = 128,20,139.524,20.03,168.314,27.992333333333335
AutoCsiTRSonSSB: PRACH = 128,30,67.32433333333334,11.261666666666665,367.153,89.88466666666666
"AutoCsiTRSonSSB: SR Period = 1, USS",0,156.27466666666666,9.764333333333333,42.614000000000004,16.344666666666665
"AutoCsiTRSonSSB: SR Period = 1, USS",10,154.51200000000003,10.996666666666668,49.98733333333333,29.199333333333332
"AutoCsiTRSonSSB: SR Period = 1, USS",20,73.77300000000001,14.621333333333332,327.56033333333335,66.378
"AutoCsiTRSonSSB: SR Period = 1, USS",30,80.34766666666667,8.319666666666667,291.28833333333336,38.797333333333334
LL: Rx to Tx = 4,0,111.59966666666666,10.448333333333332,186.6833333333333,16.558666666666667
LL: Rx to Tx = 4,10,110.99433333333333,6.8936666666666655,188.79399999999998,14.995
LL: Rx to Tx = 4,20,85.10833333333333,6.3260000000000005,250.70033333333333,25.46766666666667
LL: Rx to Tx = 4,30,39.958,7.053,568.9066666666666,156.69833333333335
LL: SR Period = 1,0,113.55366666666667,11.822333333333333,184.4466666666667,21.193666666666665
LL: SR Period = 1,10,110.656,6.359666666666667,189.16333333333333,19.621333333333332
LL: SR Period = 1,20,87.66533333333332,4.4816666666666665,238.25400000000002,15.942333333333332
LL: SR Period = 1,30,40.84866666666667,5.971333333333334,552.4846666666667,131.25633333333334
