configuration,attenuation (dB),packet size (B),mean (ms),median (ms),q1 (ms),q3 (ms)
pb-178-tdd-low-latency-rx-to-tx-lat-1.cfg,0,56,11.301,11.31,11.08,11.519
pb-178-tdd-low-latency-rx-to-tx-lat-2.cfg,0,56,10.865,10.899,10.653,11.078
pb-178-tdd-low-latency.cfg,0,56,11.258,11.284,11.13,11.385
pb-178-ul-highTp-defCSI-sr-per-1.cfg,0,56,21.882,21.687,21.369,22.392
pb-178-ul-highTp-defCSI-prach-128.cfg,0,56,28.882,29.124,28.353,30.16
pb-178-tdd-low-latency-rx-to-tx-lat-4.cfg,0,56,11.0,11.145,10.416,11.455
pb-178-tdd-low-latency-sr-per-1.cfg,0,56,11.322,11.336,11.131,11.482
pb-178-ul-highTp-defCSI-no-trs.cfg,0,56,30.076,30.014,29.116,31.199
pb-178-tdd-low-latency-prach-160.cfg,0,56,11.094,11.086,10.91,11.288
pb-178-ul-highTp-autoCSI-noTRS-prach-128.cfg,0,56,30.768,30.554,29.696,32.023
pb-178-ul-highTp-autoCSI-noTRS.cfg,0,56,30.952,31.117,28.897,32.391
pb-178-ul-highTp-autoCSI-TRSonSSB-20.cfg,0,56,31.642,32.282,29.882,33.598
pb-178-ul-highTp-autoCSI-TRSonSSB-prach-128.cfg,0,56,31.099,31.272,29.622,32.713
pb-178-tdd-low-latency-no-rx-to-tx-lat.cfg,0,56,13.453,13.558,12.854,13.83
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1.cfg,0,56,24.467,24.633,24.51,24.76
pb-178-ul-highTp-autoCSI-noTRS-sr-per-1.cfg,0,56,23.153,24.266,21.647,24.742
pb-178-ul-highTp-autoCSI-TRSonSSB.cfg,0,56,31.411,32.332,29.912,32.945
pb-178-ul-highTp-defCSI-rx-to-tx-lat-4.cfg,0,56,24.856,24.834,24.05,25.722
pb-178-ul-highTp-autoCSI-TRSonSSB-sr-per-1-uss.cfg,0,56,24.798,24.725,24.616,24.96
pb-178-tdd-low-latency-20.cfg,0,56,11.085,11.156,10.817,11.33
pb-178-ul-highTp-defCSI-rx-to-tx-lat-2.cfg,0,56,23.171,23.134,22.612,23.773
pb-178-ul-highTp-defCSI-20.cfg,0,56,31.001,31.705,29.689,32.392
pb-178-ul-highTp-autoCSI-noTRS-20.cfg,0,56,29.913,29.324,29.036,30.998
pb-178-ul-highTp-defCSI.cfg,0,56,30.013,29.99,29.011,31.164
